age_op,age_th,priors_op,priors_th,score_op,score_th,charge_val,original_spd,selected_rows,repair_age_th,repair_priors_th,repair_score_th,repair_charge_val,repair_spd,distance,male_ratio,female_ratio,positive_rate,male_positive_rate,female_positive_rate
<=,48,>=,10,<=,8,1,0.20834936514043867,249,48,9,8,1,0.1246179966044142,1,0.9076305220883534,0.09236947791164658,0.7108433734939759,0.7300884955752213,0.5217391304347826
<=,50,>=,10,>=,3,0,-0.23584905660377353,117,50,9,3,0,-0.1338672768878718,1,0.905982905982906,0.09401709401709402,0.7863247863247863,0.7641509433962265,1.0
<=,23,<=,8,>=,1,0,0.2534256889022737,316,23,8,1,1,0.158656148110992,1,0.7246835443037974,0.27531645569620256,0.5284810126582279,0.5982532751091703,0.3448275862068966
<=,28,>=,9,>=,5,1,0.2028985507246377,118,28,9,4,1,0.19774011299435035,1,0.9745762711864406,0.025423728813559324,0.864406779661017,0.8695652173913043,0.6666666666666666
<=,22,<=,9,>=,3,0,0.22467532467532475,195,21,9,3,0,0.057909055577147206,1,0.717948717948718,0.28205128205128205,0.5794871794871795,0.6428571428571429,0.41818181818181815
>=,30,>=,8,<=,5,1,-0.29032258064516137,165,30,7,5,1,-0.16666666666666663,1,0.9393939393939394,0.06060606060606061,0.5272727272727272,0.5096774193548387,0.8
>=,46,>=,3,>=,5,1,0.24867724867724866,216,45,2,6,1,0.1923076923076923,3,0.875,0.125,0.625,0.656084656084656,0.4074074074074074
>=,36,>=,8,>=,1,0,-0.20801232665639446,129,35,8,1,0,-0.126,1,0.9147286821705426,0.08527131782945736,0.627906976744186,0.6101694915254238,0.8181818181818182
>=,46,>=,8,>=,6,1,0.2024793388429752,135,45,8,6,1,0.16895674300254448,1,0.8962962962962963,0.1037037037037037,0.6814814814814815,0.7024793388429752,0.5
<=,27,>=,0,<=,2,0,0.25087719298245614,134,27,0,2,1,-0.10620915032679734,1,0.8507462686567164,0.14925373134328357,0.31343283582089554,0.3508771929824561,0.1
>=,47,>=,5,>=,4,1,0.23276836158192094,202,47,5,3,1,0.1753889674681754,1,0.8762376237623762,0.12376237623762376,0.6039603960396039,0.632768361581921,0.4
