age_th,edu_th,hours_th,gain_val,original_spd,selected_rows,selectivity,male_ratio,female_ratio,positive_rate,male_positive_rate,female_positive_rate,age_percentile,edu_percentile,hours_percentile,repair_age_th,repair_edu_th,repair_hours_th,repair_gain_val,repair_spd,distance,delta_age,delta_edu,delta_hours,delta_gain
31,8,22,0,0.25716922515657564,16449,0.5051749024907097,0.7042373396559062,0.2957626603440939,0.3229375645935923,0.3989986187845304,0.14182939362795477,0.35195479254322654,0.13061638156076288,0.092011916095943,30,8,22,1,0.19708173937712314,1.032258064516129,-1,0,0,1
41,10,44,1,0.30411407199625995,209,0.006418721783729001,0.8899521531100478,0.11004784688995216,0.4880382775119617,0.521505376344086,0.21739130434782608,0.6119590921654741,0.6770369460397407,0.7247320413992199,41,10,40,1,0.1887990762124711,0.09090909090909091,0,0,-4,0
45,9,59,0,0.23586256263421615,287,0.008814225607321643,0.8850174216027874,0.11498257839721254,0.29965156794425085,0.32677165354330706,0.09090909090909091,0.7043395473112005,0.4531187617087927,0.9206105463591413,45,9,61,0,0.1746031746031746,0.03389830508474576,0,0,2,0
41,11,25,1,0.20587671180329126,728,0.022358035686864654,0.820054945054945,0.17994505494505494,0.5810439560439561,0.6180904522613065,0.4122137404580153,0.6119590921654741,0.7194803599398053,0.12109578944135622,40,11,25,1,0.1978889976233748,0.024390243902439025,-1,0,0,0
60,10,38,0,0.26367839100181106,425,0.013052424679831701,0.6329411764705882,0.36705882352941177,0.21176470588235294,0.30855018587360594,0.04487179487179487,0.9283805779920764,0.6770369460397407,0.23724701329811737,60,9,38,0,0.16968062673329332,0.1,0,-1,0,0
45,12,46,0,0.2161139801948005,3986,0.12241638770308037,0.5998494731560462,0.40015052684395386,0.28198695434019067,0.3684650773734839,0.1523510971786834,0.7043395473112005,0.7522496237830534,0.7832683271398299,45,12,44,0,0.1883731691135192,0.043478260869565216,0,0,-2,0
33,15,39,1,0.22777526508869794,1771,0.05439022143054575,0.8322981366459627,0.16770186335403728,0.7114624505928854,0.7496607869742198,0.5218855218855218,0.40425662602499923,0.9873161143699518,0.23841405362243173,33,15,41,1,0.17135378358499542,0.05128205128205128,0,0,2,0
59,13,22,1,0.2397336293007769,123,0.003777525260280704,0.8617886178861789,0.13821138211382114,0.8536585365853658,0.8867924528301887,0.6470588235294118,0.9187985626977059,0.9167101747489328,0.092011916095943,58,13,22,1,0.18695652173913047,0.01694915254237288,-1,0,0,0
45,9,41,1,0.22135736196319017,643,0.019747550750898315,0.7465007776049767,0.2534992223950233,0.6376360808709176,0.69375,0.4723926380368098,0.7043395473112005,0.4531187617087927,0.7068578974847209,45,9,39,1,0.08237704918032784,0.04878048780487805,0,0,-2,0
59,13,47,0,0.20385719707618388,5102,0.1566905193329443,0.833202665621325,0.16679733437867503,0.31909055272442177,0.3530933897906375,0.1492361927144536,0.9187985626977059,0.9167101747489328,0.7847731949264457,59,13,49,0,0.19842754367934226,0.0425531914893617,0,0,2,0
