age_op,age_th,edu_op,edu_th,hours_op,hours_th,gain_val,original_spd,selected_rows,selectivity,male_ratio,female_ratio,positive_rate,male_positive_rate,female_positive_rate,age_percentile,edu_percentile,hours_percentile,repair_age_op,repair_age_th,repair_edu_op,repair_edu_th,repair_hours_op,repair_hours_th,repair_gain_val,repair_spd,distance,delta_age,delta_edu,delta_hours,delta_gain
>=,31,>=,9,>=,51,0,0.2685259444628697,2291,0.07036024692116336,0.8515931907463989,0.14840680925360106,0.45220427760803145,0.4920553562275756,0.2235294117647059,0.35195479254322654,0.4531187617087927,0.8885169374404963,>=,31,>=,9,>=,51,1,0.1981884057971014,1.0,0,0,0,1
>=,48,>=,6,>=,39,0,0.3015439303904923,4888,0.15011823961180554,0.7463175122749591,0.25368248772504093,0.3782733224222586,0.45476973684210525,0.1532258064516129,0.7653941832253309,0.08123214888977612,0.23841405362243173,>=,48,>=,6,>=,41,1,0.11212121212121207,1.0512820512820513,0,0,2,1
<=,57,>=,9,>=,36,1,0.23786412828158554,1919,0.058935536377875374,0.8061490359562272,0.1938509640437728,0.6836894215737364,0.7297996121525533,0.49193548387096775,0.8966555081232149,0.4531187617087927,0.2180522711218943,<=,57,>=,9,>=,41,1,0.17274653263228312,0.1388888888888889,0,0,5,0
>=,44,>=,11,>=,55,0,0.34335463675492367,456,0.014004483891772366,0.8201754385964912,0.17982456140350878,0.5986842105263158,0.660427807486631,0.3170731707317073,0.6817972420994441,0.7194803599398053,0.9160959429992936,>=,44,>=,11,>=,55,1,0.1743589743589744,1.0,0,0,0,1
>=,36,<=,15,>=,56,1,0.2461033634126334,235,0.007217223058259881,0.902127659574468,0.09787234042553192,0.7872340425531915,0.8113207547169812,0.5652173913043478,0.4859494487270047,0.9873161143699518,0.9190749669850434,>=,36,<=,16,>=,57,1,0.18805429864253387,0.08452380952380953,0,1,1,0
>=,60,>=,7,>=,33,0,0.2975570391020468,1134,0.03482694020453917,0.7204585537918872,0.2795414462081129,0.31216931216931215,0.3953488372093023,0.09779179810725552,0.9283805779920764,0.11731826418107552,0.17060286846227082,>=,58,>=,6,>=,33,1,0.197533582911253,1.1761904761904762,-2,-1,0,1
<=,56,<=,10,>=,31,1,0.23496478237312624,987,0.030312336844691503,0.8014184397163121,0.19858156028368795,0.49442755825734547,0.5410872313527181,0.30612244897959184,0.8856607598046743,0.6770369460397407,0.16123583428027394,<=,56,<=,9,>=,31,1,0.17758082515243162,0.1,0,-1,0,0
<=,50,>=,4,>=,25,1,0.20692258943138764,1835,0.056355763029390986,0.7716621253405994,0.22833787465940056,0.6250681198910082,0.672316384180791,0.46539379474940334,0.8016031448665581,0.036792481803384416,0.12109578944135622,<=,49,>=,4,>=,25,1,0.19958480867048906,0.02,-1,0,0,0
>=,52,<=,13,>=,25,1,0.27879738855109415,490,0.015048677866158901,0.8183673469387756,0.1816326530612245,0.6326530612244898,0.683291770573566,0.4044943820224719,0.8345566782346979,0.9167101747489328,0.12109578944135622,>=,56,<=,12,>=,25,1,0.18103770063456515,0.15384615384615385,4,-1,0,0
<=,57,<=,9,>=,38,1,0.21315384615384614,604,0.018549798839101992,0.8278145695364238,0.17218543046357615,0.4552980132450331,0.492,0.27884615384615385,0.8966555081232149,0.4531187617087927,0.23724701329811737,<=,56,<=,9,>=,37,1,0.1993927125506073,0.043859649122807015,-1,0,-1,0
>=,55,>=,8,<=,41,1,0.2730191661726932,325,0.009981265931636006,0.7415384615384616,0.25846153846153846,0.5476923076923077,0.6182572614107884,0.34523809523809523,0.874420318786278,0.13061638156076288,0.7068578974847209,>=,55,>=,8,<=,39,1,0.16666666666666669,0.04878048780487805,0,0,-2,0
>=,36,<=,16,>=,24,0,0.2608892881609258,14557,0.4470685789748472,0.7074946761008449,0.29250532389915507,0.3186782991000893,0.3949898048354209,0.13410051667449507,0.4859494487270047,1.0,0.10039617947851724,>=,37,<=,16,>=,24,1,0.1979029685651078,1.0277777777777777,1,0,0,1
>=,60,>=,7,>=,28,1,0.2541454081632653,241,0.007401492583151623,0.7966804979253111,0.2033195020746888,0.6514522821576764,0.703125,0.4489795918367347,0.9283805779920764,0.11731826418107552,0.12557968121372193,>=,58,>=,6,>=,29,1,0.1993131601114495,0.21190476190476187,-2,-1,1,0
<=,58,>=,1,>=,31,1,0.22128408229625235,2156,0.06621418261109917,0.7926716141001855,0.20732838589981448,0.6586270871985158,0.7045055588063195,0.48322147651006714,0.9078959491416111,0.001566290961579804,0.16123583428027394,<=,58,>=,1,>=,31,0,0.18766050310991525,1.0,0,0,0,-1
<=,38,>=,7,>=,55,1,0.2829268292682927,138,0.004238199072510058,0.8913043478260869,0.10869565217391304,0.6521739130434783,0.6829268292682927,0.4,0.5376984736341022,0.11731826418107552,0.9160959429992936,<=,38,>=,7,>=,50,1,0.12133431085043989,0.09090909090909091,0,0,-5,0
<=,46,>=,15,>=,58,0,0.21264367816091956,109,0.0033475630355333068,0.7981651376146789,0.2018348623853211,0.6697247706422018,0.7126436781609196,0.5,0.7269739872854027,0.9873161143699518,0.9204569884217315,<=,45,>=,15,>=,58,0,0.19999999999999996,0.021739130434782608,-1,0,0,0
>=,52,<=,15,>=,52,0,0.2752525252525253,468,0.01437302294155585,0.8461538461538461,0.15384615384615385,0.3995726495726496,0.44191919191919193,0.16666666666666666,0.8345566782346979,0.9873161143699518,0.8927551365130063,>=,52,<=,15,>=,50,1,0.18435582822085883,1.0384615384615385,0,0,-2,1
>=,36,>=,1,>=,59,0,0.2871199388846448,1412,0.043364761524523204,0.8675637393767706,0.13243626062322947,0.43626062322946174,0.4742857142857143,0.18716577540106952,0.4859494487270047,0.001566290961579804,0.9206105463591413,>=,36,>=,1,>=,57,1,0.18805429864253387,1.0338983050847457,0,0,-2,1
>=,44,>=,15,>=,40,0,0.2598938223938224,307,0.009428457356960782,0.8436482084690554,0.1563517915309446,0.7817589576547231,0.8223938223938224,0.5625,0.6817972420994441,0.9873161143699518,0.7057522803353705,>=,44,>=,15,>=,41,0,0.10220937435473876,0.025,0,0,1,0
<=,55,<=,16,<=,58,1,0.21418732782369143,1936,0.05945763336506864,0.75,0.25,0.6131198347107438,0.6666666666666666,0.4524793388429752,0.874420318786278,1.0,0.9204569884217315,<=,53,<=,16,<=,54,1,0.19754176786634287,0.10532915360501567,-2,0,-4,0
>=,49,>=,15,<=,43,0,0.43503937007874016,151,0.004637449709775498,0.8410596026490066,0.15894039735099338,0.6158940397350994,0.6850393700787402,0.25,0.7831147692024201,0.9873161143699518,0.7182211848530451,>=,47,>=,14,<=,43,1,0.10817031070195626,1.107482993197279,-2,-1,0,1
>=,36,>=,10,>=,43,0,0.32738020138462,3156,0.09692577009305611,0.8168567807351077,0.18314321926489227,0.5494296577946768,0.6093871217998449,0.2820069204152249,0.4859494487270047,0.6770369460397407,0.7182211848530451,>=,35,>=,10,>=,43,1,0.19985189466459552,1.0277777777777777,-1,0,0,1
>=,26,>=,12,>=,20,0,0.3030130540814343,6822,0.20951444980191025,0.7125476399882732,0.28745236001172675,0.455584872471416,0.5426866899814853,0.239673635900051,0.22100058352016216,0.7522496237830534,0.08992352814716993,>=,26,>=,12,>=,20,1,0.19432773109243695,1.0,0,0,0,1
<=,55,>=,8,>=,22,1,0.22502866705922464,2025,0.062190964650962806,0.777283950617284,0.22271604938271605,0.662716049382716,0.7128335451080051,0.4878048780487805,0.874420318786278,0.13061638156076288,0.092011916095943,<=,55,>=,8,>=,22,0,0.19519596877075535,1.0,0,0,0,-1
>=,50,>=,1,>=,46,0,0.2696730020068469,1272,0.03906513927704923,0.845125786163522,0.15487421383647798,0.45125786163522014,0.4930232558139535,0.2233502538071066,0.8016031448665581,0.001566290961579804,0.7832683271398299,>=,50,>=,1,>=,46,1,0.17892116182572604,1.0,0,0,0,1
>=,39,<=,13,>=,50,1,0.2230238726790451,354,0.010871901968612757,0.9180790960451978,0.08192090395480225,0.7909604519774012,0.8092307692307692,0.5862068965517241,0.562759129019379,0.9167101747489328,0.8881176868032309,>=,37,<=,13,>=,50,1,0.19502931219552466,0.05128205128205128,-2,0,0,0
<=,56,>=,9,>=,28,1,0.23007267875181264,2013,0.06182242560117932,0.7819175360158966,0.21808246398410333,0.6696472925981123,0.7198221092757306,0.489749430523918,0.8856607598046743,0.4531187617087927,0.12557968121372193,<=,55,>=,9,>=,28,0,0.19968745078884645,1.0178571428571428,-1,0,0,-1
<=,54,<=,15,>=,52,1,0.2574184657785944,346,0.010626209268757103,0.8988439306358381,0.10115606936416185,0.7456647398843931,0.7717041800643086,0.5142857142857142,0.8615521636313381,0.9873161143699518,0.8927551365130063,<=,54,<=,15,>=,50,1,0.1645952440135886,0.038461538461538464,0,0,-2,0
>=,48,>=,2,>=,57,0,0.2827586206896552,582,0.01787414391449894,0.8505154639175257,0.14948453608247422,0.42439862542955326,0.4666666666666667,0.1839080459770115,0.7653941832253309,0.00672583765854857,0.9195970639722367,>=,48,>=,2,>=,62,0,0.19966777408637876,0.08771929824561403,0,0,5,0
>=,39,>=,3,>=,36,1,0.22063772706483087,1469,0.045115322010994746,0.8379850238257318,0.16201497617426822,0.7311095983662356,0.7668562144597888,0.5462184873949579,0.562759129019379,0.01695279629004023,0.2180522711218943,>=,39,>=,3,>=,41,1,0.18761022518425008,0.1388888888888889,0,0,5,0
<=,53,>=,4,<=,60,1,0.2105314853214013,1986,0.06099321273916649,0.7532729103726082,0.24672708962739173,0.621852970795569,0.6737967914438503,0.463265306122449,0.848806854826326,0.036792481803384416,0.9659101378950278,<=,49,>=,4,<=,59,1,0.19937778400772516,0.09213836477987421,-4,0,-1,0
>=,55,>=,9,<=,41,1,0.27142857142857146,324,0.00995055434415405,0.7407407407407407,0.25925925925925924,0.5462962962962963,0.6166666666666667,0.34523809523809523,0.874420318786278,0.4531187617087927,0.7068578974847209,>=,55,>=,9,<=,39,1,0.16666666666666669,0.04878048780487805,0,0,-2,0
<=,58,>=,13,<=,40,0,0.24557841102094738,3671,0.11274223764626394,0.6186325251974939,0.38136747480250616,0.32906564968673385,0.4227212681638045,0.17714285714285713,0.9078959491416111,0.9167101747489328,0.7057522803353705,<=,58,>=,13,<=,39,0,0.0436914647440963,0.025,0,0,-1,0
<=,53,<=,13,>=,47,1,0.223961803242283,531,0.016307852952919137,0.8926553672316384,0.10734463276836158,0.6911487758945386,0.7151898734177216,0.49122807017543857,0.848806854826326,0.9167101747489328,0.7847731949264457,<=,53,<=,13,>=,45,1,0.19627945431996696,0.0425531914893617,0,0,-2,0
<=,49,>=,6,<=,59,1,0.2071953204028676,1595,0.04898498203372132,0.7310344827586207,0.2689655172413793,0.5943573667711599,0.6500857632933105,0.4428904428904429,0.7831147692024201,0.08123214888977612,0.9206105463591413,<=,46,>=,6,<=,59,1,0.19283237388348284,0.061224489795918366,-3,0,0,0
>=,34,<=,11,<=,53,1,0.2073149069205628,971,0.02982095144498019,0.7662203913491246,0.23377960865087538,0.5200823892893924,0.5685483870967742,0.36123348017621143,0.4314670925340131,0.7194803599398053,0.8935229262000552,>=,33,<=,11,<=,55,1,0.198989898989899,0.06714761376248612,-1,0,2,0
>=,42,>=,4,>=,45,1,0.20804369414101298,587,0.018027701851908724,0.9028960817717206,0.09710391822827939,0.8194207836456558,0.839622641509434,0.631578947368421,0.6359141304014004,0.036792481803384416,0.7807499769663094,>=,42,>=,4,>=,44,1,0.19422216621510935,0.022222222222222223,0,0,-1,0
>=,43,<=,13,<=,48,0,0.22138444948960787,7568,0.23242529406345014,0.6481236786469344,0.3518763213530655,0.2358615221987315,0.3137614678899083,0.09237701840030041,0.6595620527625073,0.9167101747489328,0.8006510856546175,>=,43,<=,12,<=,48,0,0.18747593395006248,0.07692307692307693,0,-1,0,0
>=,30,>=,13,<=,47,0,0.30301419046915246,3618,0.11111452350972022,0.6951354339414041,0.3048645660585959,0.45632946379215034,0.5487077534791253,0.2456935630099728,0.3246829028592488,0.9167101747489328,0.7847731949264457,>=,30,>=,13,<=,47,1,0.17137514192212644,1.0,0,0,0,1
<=,56,>=,10,>=,28,1,0.2533725029377203,1483,0.045545284235742146,0.7754551584625758,0.22454484153742413,0.7370195549561699,0.7939130434782609,0.5405405405405406,0.8856607598046743,0.6770369460397407,0.12557968121372193,<=,55,>=,9,>=,28,0,0.19968745078884645,1.1178571428571429,-1,-1,0,-1
